CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,auc,spearman_r,count_missing,sigmoid_4_param_r2,sigmoid_4_param
NMC-G1,908449,273,273_908449,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.93333515,0.912886322,0.96182739,0.936763912,0.859222328,0.684833252,0.43861204,0.193868891,0.095924884,CUDC-101,NMC-G1,0.7188124142902917,-0.9030303030303028,0,0.9954408968731571,[  0.74294868   1.08544019 -10.92434807   0.03592048]
JHH-2,1240157,225,225_1240157,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.052490567,1.042097559,1.062659637,1.028567988,1.109296105,1.063251062,1.037357544,0.851895472,0.12610036,Genentech Cpd 10,JHH-2,0.9789629016455248,-0.2969696969696969,0,0.9910848438799884,[  0.95151112   0.87452035 -26.98854479  -0.09244357]
JHH-2,1240157,200,200_1240157,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.015934684,1.028739483,1.015394819,0.906346076,0.942573021,0.841290337,0.49070197,0.214622978,0.071902652,Dacinostat,JHH-2,0.7768394105920644,-0.9030303030303028,0,0.9920466995658268,[  0.77409682   1.02910165 -13.21967287   0.02677483]
LU-65,724863,294,294_724863,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988412371,1.001802371,0.96901145,1.029126565,0.98578702,0.91911443,0.74776422,0.351713924,0.178884593,MPS-1-IN-1,LU-65,0.8424638498872152,-0.8181818181818182,0,0.996699591332589,[  0.81972087   1.15512339 -16.77839775   0.1293846 ]
EB-3,906847,86,86_906847,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986783213,0.986392049,0.913610713,0.978394009,0.874258579,0.770048245,0.591838697,0.361299272,0.185328511,A-443654,EB-3,0.7839210037535163,-0.9878787878787878,0,0.9938215526639456,[ 0.83556692  0.9806488  -7.87527393 -0.03269504]
EB-3,906847,136,136_906847,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.998262446,0.934267038,0.905198859,0.87209578,0.801687695,0.662209609,0.435416264,0.238691377,0.11261667,Mitomycin-C,EB-3,0.7115708226808765,-1.0,0,0.9960288979289094,[ 0.78802244  0.93017303 -6.80232484 -0.09076617]
MMAC-SF,925339,252,252_925339,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.008158023,1.013187467,1.007335539,1.013542662,1.003024586,1.034404591,1.005243538,0.743335635,0.103550892,WZ3105,MMAC-SF,0.9311119430771716,-0.3696969696969697,0,0.998985285225119,[  0.91141005   1.06313209 -38.14777665   0.07067806]
MMAC-SF,925339,291,291_925339,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.933412259,0.942131945,0.928728157,0.930753975,0.975647836,0.976798796,0.965094961,1.010348397,0.00740153,KIN001-266,MMAC-SF,0.907401899045799,-0.0181818181818181,0,0.9909613569261717,[   1.02295132    0.17391953 -146.50808671   -4.78723899]
OC-314,909257,219,219_909257,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.025215359,1.01942371,1.045395508,1.067126178,1.049351323,0.877806021,0.199670917,0.158920065,0.019038819,AT-7519,OC-314,0.7724920547857467,-0.6,0,0.9926708692414667,[  0.71536902   1.05260937 -32.0869377    0.08529102]
OC-314,909257,225,225_909257,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.043257989,1.007252243,0.968698546,0.96307294,0.966718885,0.967975905,0.896481254,0.209521281,0.185290602,Genentech Cpd 10,OC-314,0.8461804827853822,-0.9151515151515152,0,0.9945174058914857,[  0.81480124   1.24474272 -49.34696297   0.18484926]
OC-314,909257,292,292_909257,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.016433897,0.976219218,0.989931679,1.011799212,0.969560458,1.026374433,1.026564851,0.936609881,0.043214684,Masitinib,OC-314,0.9416778857156684,-0.2969696969696969,0,0.9959031581006004,[ 9.07214579e-01  1.04286376e+00 -1.40292863e+02  4.32124560e-02]
OC-314,909257,208,208_909257,2,0.128,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950851193,0.947181862,0.993647188,0.99059409,0.981447657,0.824534075,0.419752412,0.253511153,0.115590859,Ispinesib Mesylate,OC-314,0.7688127846060969,-0.8181818181818182,0,0.9925463523990952,[  0.73446818   1.19548903 -18.2602522    0.1457438 ]
A427,910851,269,269_910851,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.976759929,1.025874235,1.00716679,0.989785907,0.942874471,1.032310971,0.970631836,0.81362534,0.170122382,NSC-207895,A427,0.9271211855947646,-0.5878787878787878,0,0.990678019735568,[  0.98357878   0.78182722 -21.52855336  -0.28319053]
KMS-12-BM,907281,9,9_907281,2,1.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.020776072,1.045111451,1.023873573,1.040747652,0.984892639,1.009760485,0.997596174,0.115751886,0.08306596,MG-132,KMS-12-BM,0.8644492125928155,-0.6848484848484848,0,0.9979328763908181,[  0.83611129   1.0696904  -64.11983668   0.08303463]
KMS-12-BM,907281,53,53_907281,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.060651379,1.06036117,1.044028391,1.063154763,1.069408646,1.054900788,0.978284184,0.03682249,0.016647704,CGP-60474,KMS-12-BM,0.8751039627467333,-0.5151515151515151,0,0.9979878976399036,[ 8.22573590e-01  9.67371735e-01 -5.85806167e+01  1.66434803e-02]
KMS-12-BM,907281,173,173_907281,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.9926953,1.00110286,0.964535742,0.950286394,0.896111908,0.744624328,0.361073359,0.060776554,0.014463394,FH535,KMS-12-BM,0.719826460425595,-0.9636363636363636,0,0.9979660298011324,[  0.7439344    0.99238914 -14.50309634  -0.0254059 ]
KMS-12-BM,907281,294,294_907281,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.078618817,1.046506639,1.089068726,1.05348151,1.03941771,0.955466345,0.875473524,0.590410068,0.046611869,MPS-1-IN-1,KMS-12-BM,0.9168610305184772,-0.7575757575757575,0,0.993689713833889,[ 1.23945602  0.29116659 -8.81418529 -2.37865315]
KMS-12-BM,907281,45,45_907281,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997809267,1.003758561,1.016527777,0.962687387,0.990659918,1.002775509,1.025069347,0.226944978,0.031993509,Z-LLNle-CHO,KMS-12-BM,0.8602477221719814,-0.3696969696969697,0,0.9980483802670627,[ 8.81044407e-01  1.03314594e+00 -1.79755039e+02  3.19935067e-02]
KMS-12-BM,907281,221,221_907281,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.962579995,0.995458513,0.930710233,0.927300893,0.956658797,1.002439543,0.962848145,0.965861644,0.082375518,TAK-715,KMS-12-BM,0.9161161691369748,-0.2727272727272727,0,0.991288228652988,[  1.04356289   0.2521905  -60.25611437  -2.9980044 ]
KMS-12-BM,907281,292,292_907281,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.992103957,1.063987968,0.994621992,1.08982881,0.976305445,0.975790856,0.719210167,0.32335156,0.039353315,Masitinib,KMS-12-BM,0.8505419349047474,-0.8181818181818182,0,0.9906497369425543,[  0.85159034   0.92025319 -14.62528125  -0.06141508]
KMS-12-BM,907281,194,194_907281,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.015794199,1.01882837,1.015434212,0.992867648,1.000011781,0.80405128,0.149171991,0.112115626,0.111487387,Luminespib,KMS-12-BM,0.740446533644882,-0.8424242424242423,0,0.9996521869805951,[  0.69521894   1.11553658 -38.99128449   0.11133549]
SR,905965,54,54_905965,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.009122604,0.991467353,1.029260809,1.067192536,1.023599593,1.014286044,1.039105715,0.880704261,0.006550102,CGP-082996,SR,0.9508904407611722,-0.1636363636363636,0,0.9956222622616429,[ 9.00900280e-01  9.85023220e-01 -1.53119266e+02  6.54984610e-03]
SR,905965,5,5_905965,2,8.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.114226365,1.052305122,1.06254324,1.032401239,0.95423022,0.715607509,0.386920897,0.099036855,-0.000599365,Sunitinib,SR,0.7685524185025412,-0.8666666666666665,0,0.9955890087664845,[  0.74664357   0.89975871 -11.92963958  -0.05015095]
SR,905965,9,9_905965,2,1.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.068214313,1.096898877,1.081255916,1.048663511,1.021120667,1.051107071,0.943448872,0.149707217,0.009514627,MG-132,SR,0.8850193065387616,-0.6727272727272726,0,0.9954654748353308,[ 8.38870963e-01  9.55698710e-01 -3.59013320e+01  6.44104104e-03]
SR,905965,62,62_905965,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.996141233,0.991358279,0.979348848,1.018575774,0.95785643,0.920039161,0.748286832,0.373219266,0.159748852,BMS-536924,SR,0.8405222500365828,-0.8787878787878788,0,0.9978317521989144,[  0.83514515   1.09518315 -14.96083256   0.07946338]
IOSE-523(-),1479993,256,256_1479993,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.99321286,0.99196465,1.011432454,0.943135996,0.924452034,0.975292552,0.930910424,0.726021048,0.075531305,JW-7-24-1,IOSE-523(-),0.8926875189855509,-0.8666666666666665,0,0.9919552067060972,[  1.0991366    0.40544367 -14.62286835  -1.4868155 ]
SK-N-FI,688087,104,104_688087,2,0.02,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.975789581,0.950504018,0.962263428,0.95086869,0.99736182,0.990766093,0.912984473,0.650512511,0.051878281,Bortezomib,SK-N-FI,0.8796655283722274,-0.6727272727272726,0,0.9960941294661649,[  0.96030086   0.78501628 -18.32801005  -0.29826382]
CMK,910566,86,86_910566,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.084875333,1.124080134,1.057745789,1.04020386,0.974120792,0.882245533,0.586506423,0.180599086,0.03487795,A-443654,CMK,0.827535102957405,-0.8666666666666665,0,0.9921592153007618,[  0.803729     0.89976516 -12.8433458   -0.05225529]
CMK,910566,190,190_910566,2,64.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.014145222,1.002754559,0.98605799,0.948794946,0.977729987,0.761883419,0.432264089,0.237215216,0.08881208,Bleomycin,CMK,0.7672501633071233,-0.9515151515151514,0,0.9951720529664227,[  0.74255871   1.08258782 -13.22768492   0.07745771]
CMK,910566,269,269_910566,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.980789554,0.99059218,1.00591449,0.933199921,0.921894945,0.934735472,0.874290786,0.507787941,0.104915361,NSC-207895,CMK,0.8557403300162515,-0.8787878787878788,0,0.9913962973307624,[  0.90105842   0.98179808 -17.41927659  -0.04760424]
CMK,910566,41,41_910566,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.075710765,1.095162144,1.048918567,1.04445504,0.953198252,0.483366487,0.19527587,0.165520861,0.188439887,S-Trityl-L-cysteine,CMK,0.7395364368704014,-0.8545454545454544,0,0.996402013724865,[  0.63591163   1.13447806 -24.2827846    0.17260241]
CMK,910566,140,140_910566,2,0.064,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.022524129,1.044502268,1.012681159,0.922625689,0.786355453,0.654857419,0.480216936,0.254656901,0.137846273,Vinorelbine,CMK,0.7497047879381191,-0.9151515151515152,0,0.99516558853007,[ 0.76064622  0.93355867 -6.83271969 -0.0298728 ]
BB65-RCC,753533,308,308_753533,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.02945927,1.043937024,1.083379144,1.041615969,1.022385506,0.8970154,0.377595392,0.009126066,0.003905669,WIKI4,BB65-RCC,0.7784962897535044,-0.7333333333333332,0,0.9974149888517281,[ 7.55796433e-01  9.46675248e-01 -2.22456975e+01 -1.79451168e-02]
NB69,908440,9,9_908440,2,1.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.040387682,1.043950946,1.037923685,1.047829558,0.992745068,1.054086648,0.978745006,0.196765467,0.009043841,MG-132,NB69,0.8774395535317366,-0.5393939393939393,0,0.997413809555546,[ 8.52307771e-01  9.75880858e-01 -3.97251381e+01  6.28505931e-03]
NB69,908440,86,86_908440,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.039113265,1.064697493,1.089462746,1.024360043,1.097983823,0.886006882,0.413411469,0.057775528,0.004840792,A-443654,NB69,0.7972479608194796,-0.6484848484848483,0,0.9944628139495867,[ 7.58352020e-01  9.45263685e-01 -2.02900545e+01 -4.35181933e-03]
NB69,908440,45,45_908440,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.992856327,1.058313686,0.958405699,1.014875329,0.964145526,1.014541673,1.036577008,0.494989342,0.018642042,Z-LLNle-CHO,NB69,0.8937806235401743,-0.3818181818181818,0,0.9920942427076653,[ 8.88501886e-01  1.01386732e+00 -2.11839051e+02  1.86420418e-02]
NB69,908440,41,41_908440,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.003936992,0.947824351,0.98799614,0.960853292,0.914675684,0.809151534,0.22428884,0.18669064,0.171928086,S-Trityl-L-cysteine,NB69,0.7357090575353886,-0.9515151515151514,0,0.9952832409634229,[  0.69750937   1.26053639 -36.05643339   0.17693638]
NB69,908440,87,87_908440,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.044822759,1.052781519,1.029705549,1.031588492,1.016825937,0.976959806,0.200587555,0.162926357,0.178764546,GW843682X,NB69,0.7895089165680316,-0.7818181818181817,0,0.9987015354518888,[  0.71399361   1.1648017  -54.52561748   0.17080247]
HCE-4,753559,176,176_753559,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.063292676,1.065599672,1.022050214,1.085846902,0.996161476,1.08389816,0.920940044,0.043313369,0.008539155,IPA-3,HCE-4,0.8650413435648517,-0.5636363636363636,0,0.9945403317650037,[ 8.19611920e-01  9.65063780e-01 -4.85734181e+01  9.09750312e-03]
SAT,1299050,245,245_1299050,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.990967175,0.995023526,0.970101823,1.008306221,0.974184264,0.930554462,0.765648833,0.372740312,0.189442414,UNC0638,SAT,0.8446942027021066,-0.8424242424242423,0,0.9983466588240368,[  0.82439506   1.17971412 -17.32601223   0.14191793]
SAT,1299050,308,308_1299050,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.046956295,1.026484886,1.002879098,1.003355687,0.812331106,0.713349654,0.423881612,0.108764003,0.025433978,WIKI4,SAT,0.7389688146133189,-0.8666666666666665,0,0.9928105049951044,[ 0.76655075  0.89066041 -9.42698254 -0.09618572]
HuH-7,907071,245,245_907071,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.995994479,0.998481078,0.94600868,1.033789643,0.964598061,1.031264876,1.004797765,0.597193951,0.051622997,UNC0638,HuH-7,0.8997711147105338,-0.3212121212121211,0,0.9928858784439987,[ 8.90583412e-01  1.05792800e+00 -1.50405796e+02  5.16229268e-02]
NCI-H82,688031,157,157_688031,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.03324405,1.015297884,1.045809405,1.031918183,1.111361112,1.051879391,0.94056869,0.616127587,0.072545484,JNK-9L,NCI-H82,0.9313865605846976,-0.3939393939393939,0,0.990712002874994,[  0.93649332   0.81359177 -17.46133205  -0.1871373 ]
CHSA0011,1290767,252,252_1290767,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.947805837,0.975044487,0.956418534,1.031000658,0.91980215,0.967101951,0.889726235,0.024510944,0.034122105,WZ3105,CHSA0011,0.8031635388944601,-0.7212121212121211,0,0.9943723578267387,[ 7.88012531e-01  1.06190000e+00 -2.24648314e+02  2.93165249e-02]
BC-3,910918,45,45_910918,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.003044175,1.010180587,1.03131433,1.038202924,1.034733468,1.041216998,1.024542727,0.807875321,0.145033099,Z-LLNle-CHO,BC-3,0.9515141200293984,-0.1151515151515151,0,0.9973350122958622,[   0.89598581    1.13911857 -140.27261781    0.14503265]
EW-7,949160,301,301_949160,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.98310225,0.935254954,0.908451635,0.826309624,0.732547642,0.604780635,0.441104352,0.323565592,0.156445454,PHA-793887,EW-7,0.703704379075724,-1.0,0,0.9988386632894137,[ 0.87513526  0.78668836 -4.34792591 -0.23596933]
SUP-B15,1247871,53,53_1247871,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.980265673,0.980415969,1.002651531,0.999439635,0.984173387,0.848987074,0.503048611,0.044036932,0.009307262,CGP-60474,SUP-B15,0.7608524938976207,-0.7696969696969697,0,0.9972399219828801,[  0.77838995   0.98109731 -19.07899196  -0.02866175]
SUP-B15,1247871,265,265_1247871,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.951450882,0.980559454,1.00707855,0.972316441,0.92061676,0.854785542,0.698133736,0.461585984,0.02080134,Tubastatin A,SUP-B15,0.8174364466845858,-0.8787878787878788,0,0.9968413274648322,[ 1.33196496  0.28524543 -6.67340399 -2.51318145]
SUP-B15,1247871,45,45_1247871,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.015974924,1.039878527,1.026708299,1.02346985,1.026988858,0.96486247,0.1605701,0.000964254,0.002062441,Z-LLNle-CHO,SUP-B15,0.7511609449962905,-0.6484848484848483,0,0.9995389084167281,[ 7.36816500e-01  9.78700402e-01 -4.05807541e+01  4.89478317e-04]
SiHa,930297,268,268_930297,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.010459493,1.002245791,1.005597562,0.992238529,0.95233304,0.966960019,0.920791288,0.620496942,0.107265124,Sepantronium bromide,SiHa,0.891639469636202,-0.9030303030303028,0,0.9969304539105446,[  0.95144529   0.82194222 -16.29778313  -0.22320286]
HSC-2,753562,272,272_753562,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.011081221,0.992672689,0.949908537,1.057272955,0.953018179,0.997850089,0.831362446,0.376238507,0.043883091,AR-42,HSC-2,0.8545940188727738,-0.7454545454545454,0,0.9917884916371023,[  0.86769133   0.97311538 -19.05809615  -0.03008513]
HSC-2,753562,308,308_753562,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.060722029,1.058541024,1.030242698,1.03273228,1.042812875,0.958051808,0.722712952,0.179181782,0.011502963,WIKI4,HSC-2,0.8434165479165783,-0.7696969696969697,0,0.9973295101438622,[  0.82137951   0.94713094 -19.9634961   -0.02077766]
OV-90,1240197,245,245_1240197,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.032130972,0.998087958,1.060022433,1.039756291,1.041296317,1.057786671,1.024548402,0.802703454,0.120014578,UNC0638,OV-90,0.9573710875275996,-0.2848484848484848,0,0.9950130152205738,[  0.92313895   1.01957649 -33.99225669   0.05178055]
ECC10,906848,173,173_906848,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.934942563,0.953171896,0.924473675,0.955355263,0.903105753,0.709394247,0.360218718,0.048937656,0.036804545,FH535,ECC10,0.7008891161727858,-0.9151515151515152,0,0.9957647848672644,[ 7.36969188e-01  1.04460057e+00 -1.54800714e+01 -2.22959942e-03]
ECC10,906848,159,159_906848,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.996670764,0.975491167,1.018742563,0.946080567,0.880582429,0.706900402,0.441053304,0.176217952,0.149807601,HG6-64-1,ECC10,0.7462936611114823,-0.9272727272727272,0,0.9962262443137484,[  0.72195858   1.10713118 -11.73221342   0.09146171]
SNU-398,1240217,257,257_1240217,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.027675879,1.006865461,0.987301391,1.050691696,1.055851969,1.068908099,0.147319127,0.115946665,0.093377757,NPK76-II-72-1,SNU-398,0.7785832408857997,-0.406060606060606,0,0.9964983584390484,[ 7.62799501e-01  1.08281039e+00 -2.07451570e+02  1.04662209e-01]
SNU-398,1240217,291,291_1240217,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.974521457,0.979241761,0.953620824,0.961915013,0.965828937,0.987998125,0.974052341,1.003502539,0.012351198,KIN001-266,SNU-398,0.92298406626311,-0.2121212121212121,0,0.9973080487449832,[   1.02180178    0.18992606 -144.70256217   -4.28735328]
BICR10,1290724,274,274_1290724,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.019483148,1.000537465,1.004983568,0.944846842,0.980142419,0.906976268,0.70045675,0.374242933,0.083574174,Belinostat,BICR10,0.8303840534654437,-0.9030303030303028,0,0.9970040851795163,[  0.87605597   0.89868774 -11.52126187  -0.11334107]
BICR10,1290724,308,308_1290724,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.009650149,1.020199475,1.055546087,1.011141748,1.091722189,1.071789265,1.042760102,0.021307738,0.037897523,WIKI4,BICR10,0.8714517240133135,-0.103030303030303,0,0.9952384222691667,[ 8.32169208e-01  9.91816944e-01 -2.24371047e+02  2.96011696e-02]
